RTT(s),img,parameter,leftChanges,rightChanges,chosen,hashval,screenWidth,screenHeight,windowWidth,windowHeight,colorDepth,userid,count,useragent
6,/img/pexels-photo-2672634.jpeg,lcontrast,0.0,20.0,leftImage,3368820760873453056,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,237,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pexels-photo-127162.jpeg,tint,1.25,1.0,unsure,4289890707249888768,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,238,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pickled-jalapenos-preserve-preserved.jpg,lcontrast,3.0,9.0,rightImage,-9212527062352381952,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,239,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pexels-photo-1028729.jpeg,brightness,0.0,-0.4,leftImage,3387444864975535616,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,240,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
3,/img/pexels-photo-3540104.jpeg,saturation,0.0,-0.6,leftImage,-6361940048867790848,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,241,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
4,/img/pexels-photo-2923633.jpeg,vibrance,60.0,25.0,leftImage,7512679036767582208,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,242,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
3,/img/pexels-photo-3459345.jpeg,lcontrast,0.8,0.0,rightImage,3106475437903524352,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,243,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pexels-photo-1913832.jpeg,tint,1.25,1.15,unsure,-3163680570699499520,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,244,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pexels-photo-116910.jpeg,highlights,60.0,-50.0,leftImage,-1469244267618890240,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,245,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
3,/img/pexels-photo-1403057.jpeg,tint,0.85,0.95,unsure,4941756026657095680,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,246,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
3,/img/pexels-photo-45596.jpeg,brightness,-0.6,0.0,rightImage,5699752423630671872,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,247,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pexels-photo-1465821.jpeg,brightness,-0.6,-1.0,leftImage,5417406666788569088,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,248,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
4,/img/pexels-photo-2983472.jpeg,vibrance,25.0,60.0,leftImage,-4381061318191202816,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,249,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pexels-photo-1826585.jpeg,saturation,0.8,0.0,rightImage,5567894974996631552,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,250,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pexels-photo-2446712.jpeg,temperature,14000.0,18000.0,leftImage,-5017577082495215616,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,251,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pexels-photo-1133689.jpeg,temperature,6500.0,6000.0,leftImage,4261956878921404416,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
4,/img/pexels-photo-1322799.jpeg,vibrance,0.0,0.0,unsure,-2668918932723866112,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,253,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
4,/img/pexels-photo-2112355.jpeg,vibrance,0.0,25.0,unsure,-8710019464292057088,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,254,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
3,/img/pexels-photo-2083746.jpeg,saturation,-1.0,-0.8,leftImage,-5210915191902862336,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,255,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
3,/img/pexels-photo-450055.jpeg,saturation,0.6,0.0,leftImage,3285482757658428416,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,256,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
4,/img/pexels-photo-2085524.jpeg,saturation,0.0,0.4,leftImage,6030893003080219648,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,257,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
3,/img/pexels-photo-888275.jpeg,temperature,18000.0,6500.0,rightImage,-3470650499682146304,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,258,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
4,/img/pexels-photo-2960597.jpeg,lcontrast,9.0,0.0,unsure,-5005442605522364416,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,259,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
8,/img/pexels-photo-1582835.jpeg,lcontrast,3.0,30.0,unsure,-752515921192742912,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,260,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
3,/img/pexels-photo-2402454.jpeg,exposure,2.4,1.8,unsure,1470110738635149568,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,261,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pexels-photo-2484847.jpeg,temperature,6500.0,2000.0,leftImage,-1552795176219220480,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,262,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pexels-photo-450049.jpeg,temperature,6500.0,6000.0,leftImage,8634916053121416192,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,263,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
15,/img/pexels-photo-2282593.jpeg,tint,1.0,0.95,leftImage,5038256476825383936,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,264,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pexels-photo-3219773.jpeg,shadows,80.0,80.0,rightImage,-8809023464599930880,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,265,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
1,/img/pexels-photo-1122864.jpeg,temperature,6500.0,3000.0,leftImage,-1564857168886610688,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,266,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
3,/img/pexels-photo-2137670.jpeg,contrast,-0.2,0.0,leftImage,3588055317481266688,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,267,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pexels-photo-3058827.jpeg,brightness,0.8,0.4,leftImage,6660469856668264448,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,268,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pexels-photo-1122416.jpeg,tint,1.0,1.05,leftImage,4986838878688882688,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,269,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
4,/img/pexels-photo-2463330.jpeg,temperature,5000.0,6500.0,rightImage,3314865112358403584,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,270,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pexels-photo-2166165.jpeg,shadows,50.0,100.0,leftImage,5113511676461869056,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,271,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pexels-photo-325223.jpeg,temperature,20000.0,6500.0,rightImage,-2183018243509160960,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,272,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
5,/img/pexels-photo-951336.jpeg,exposure,-3.0,-3.0,unsure,-769029532344076928,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,273,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pexels-photo-751682.jpeg,saturation,0.0,0.8,leftImage,-4986092375505144832,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,274,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pexels-photo-2668461.jpeg,exposure,-0.6,0.0,rightImage,-2101543705636935936,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,275,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pexels-photo-2239568.jpeg,saturation,0.0,-0.8,rightImage,6569422367684515840,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,276,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
3103,/img/pexels-photo-705122.jpeg,vibrance,25.0,60.0,rightImage,2502028415009073152,1920,1080,1903,944,24,8173fde1f25224ff6d63c1ff4ddf2687,51,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0
2,/img/pexels-photo-695266.jpeg,vibrance,60.0,25.0,rightImage,-5619405253020583936,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,277,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
3,/img/pexels-photo-1661323.jpeg,brightness,-0.8,0.0,leftImage,2671949055265389056,1920,1080,1903,944,24,8173fde1f25224ff6d63c1ff4ddf2687,52,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0
3,/img/pexels-photo-3584870.jpeg,exposure,-1.8,-2.4,unsure,5447777756170004480,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,278,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pexels-photo-816045.jpeg,vibrance,0.0,25.0,rightImage,5371989663951601664,1920,1080,1903,944,24,8173fde1f25224ff6d63c1ff4ddf2687,53,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0
2,/img/pexels-photo-709869.jpeg,temperature,6000.0,5000.0,leftImage,3117974379489464320,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,279,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
1,/img/pexels-photo-1934895.jpeg,temperature,6500.0,2000.0,leftImage,-2107133683813789440,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,280,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
3,/img/pexels-photo-3209101.jpeg,brightness,1.0,0.6,rightImage,5012097021512851456,1920,1080,1903,944,24,8173fde1f25224ff6d63c1ff4ddf2687,54,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0
3,/img/pexels-photo-920101.jpeg,brightness,0.0,1.0,leftImage,-1491208784256791552,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,281,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/drinks-supermarket-cans-beverage.jpg,saturation,-0.2,-0.2,rightImage,5114779203074409472,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,282,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
3,/img/people-men-fight-challenge.jpg,vibrance,40.0,60.0,unsure,8316198779987317760,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,283,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/nature-winter-water-ice-835712.jpeg,temperature,22000.0,10000.0,rightImage,7557379264868894720,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,284,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pexels-photo-2273496.jpeg,contrast,0.0,0.4,leftImage,5129064594353118208,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,285,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pexels-photo-976873.jpeg,lcontrast,9.0,0.0,leftImage,-152731705138398080,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,286,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pexels-photo-951091.jpeg,highlights,-20.0,40.0,rightImage,7197824204015806464,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,287,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pexels-photo-2446712.jpeg,shadows,60.0,50.0,leftImage,3389735144132037632,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,288,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
3,/img/pexels-photo-1637437.jpeg,contrast,0.6,0.0,unsure,-5979154785104349184,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,289,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
20,/img/pexels-photo-1351631.jpeg,shadows,60.0,50.0,leftImage,-1274854080686634240,1920,1080,1903,944,24,8173fde1f25224ff6d63c1ff4ddf2687,55,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0
3,/img/pexels-photo-935763.jpeg,brightness,-1.0,0.0,leftImage,-2757754608564707328,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,290,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
1,/img/pexels-photo-3191278.jpeg,brightness,0.8,0.0,rightImage,-4840571275444724736,1920,1080,1903,944,24,8173fde1f25224ff6d63c1ff4ddf2687,56,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0
2,/img/pexels-photo-2762180.jpeg,highlights,-100.0,-50.0,rightImage,330692942992707776,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,291,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
3,/img/pexels-photo-3028448.jpeg,temperature,6000.0,3000.0,leftImage,-5035414512136589312,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,292,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
5,/img/pexels-photo-572614.jpeg,temperature,12000.0,6500.0,leftImage,8548950842753784832,1920,1080,1903,944,24,8173fde1f25224ff6d63c1ff4ddf2687,57,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0
3,/img/pexels-photo-1633834.jpeg,highlights,-60.0,-50.0,leftImage,-8095675082044804096,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,293,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
4,/img/pexels-photo-3493796.jpeg,shadows,40.0,50.0,rightImage,-2966783630685637632,1920,1080,1903,944,24,8173fde1f25224ff6d63c1ff4ddf2687,58,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0
1,/img/pexels-photo-1749799.jpeg,contrast,0.8,0.8,leftImage,-6884145571805961216,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,294,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pexels-photo-2121111.jpeg,brightness,-0.6,-1.0,rightImage,3990974104180844032,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,295,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
5,/img/pexels-photo-2398595.jpeg,saturation,0.4,0.4,rightImage,-5353719355416436736,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,296,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
1,/img/pexels-photo-2452348.jpeg,tint,1.0,0.95,leftImage,-7977761072272965632,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,297,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pexels-photo-1049843.jpeg,brightness,0.0,-0.2,leftImage,-120800212300263184,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,298,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pexels-photo-2796781.png,shadows,100.0,50.0,rightImage,321757604393047552,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,299,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
2,/img/pexels-photo-204459.jpeg,contrast,-0.6,-0.8,unsure,8875797785242514432,1440,900,1318,712,24,b7b3475252a6ac4737e7ebdedf2edc4d,300,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
18,/img/pexels-photo-1663367.jpeg,lcontrast,15.0,2.0,rightImage,-8016119660463507456,1920,1080,1903,944,24,8173fde1f25224ff6d63c1ff4ddf2687,59,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0
2,/img/pexels-photo-413676.jpeg,lcontrast,40.0,0.0,rightImage,-6722279848408637440,1920,1080,1903,944,24,8173fde1f25224ff6d63c1ff4ddf2687,60,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0
14,/img/pexels-photo-1720324.jpeg,brightness,0.0,0.2,rightImage,1487795261729951744,1920,1080,1903,944,24,8173fde1f25224ff6d63c1ff4ddf2687,61,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0
6,/img/pexels-photo-2470228.jpeg,contrast,0.0,-0.2,leftImage,59728850963734432,1920,1080,1903,944,24,8173fde1f25224ff6d63c1ff4ddf2687,62,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0
7,/img/pexels-photo-90911.jpeg,lcontrast,30.0,10.0,unsure,-306796040122595968,1920,1080,1903,944,24,8173fde1f25224ff6d63c1ff4ddf2687,63,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0
5,/img/pexels-photo-377902.jpeg,tint,1.0,1.15,rightImage,-1018425947539637632,1920,1080,1903,944,24,8173fde1f25224ff6d63c1ff4ddf2687,64,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0
2,/img/pexels-photo-1330810.jpeg,shadows,50.0,-40.0,leftImage,-1637600388375835904,1920,1080,1903,944,24,8173fde1f25224ff6d63c1ff4ddf2687,65,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0
8,/img/pexels-photo-1813282.jpeg,lcontrast,10.0,10.0,unsure,-8271298097044770816,1920,1080,1903,944,24,8173fde1f25224ff6d63c1ff4ddf2687,66,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0
4,/img/pexels-photo-2132943.png,tint,1.15,1.15,rightImage,747929802723928064,1920,1080,1903,944,24,8173fde1f25224ff6d63c1ff4ddf2687,67,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0
2,/img/pexels-photo-170628.jpeg,temperature,14000.0,8000.0,rightImage,-3040644584032355328,1920,1080,1903,944,24,8173fde1f25224ff6d63c1ff4ddf2687,68,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0
2,/img/pexels-photo-2964962.jpeg,exposure,0.0,-0.6,leftImage,8514337484956437504,1920,1080,1903,944,24,8173fde1f25224ff6d63c1ff4ddf2687,69,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0
4,/img/pexels-photo-1098853.jpeg,highlights,-50.0,0.0,unsure,3289340263853454336,1920,1080,1903,944,24,8173fde1f25224ff6d63c1ff4ddf2687,70,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0
3,/img/pexels-photo-756565.jpeg,contrast,0.0,-0.4,leftImage,-8086494992493392896,1920,1080,1903,944,24,8173fde1f25224ff6d63c1ff4ddf2687,71,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0
486,/img/pexels-photo-1192029.jpeg,vibrance,80.0,25.0,unsure,3647651974214488576,1920,1080,1903,944,24,8173fde1f25224ff6d63c1ff4ddf2687,72,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0
3,/img/pexels-photo-1451472.jpeg,brightness,0.0,1.0,leftImage,5878536055004190720,1600,900,1586,787,24,8173fde1f25224ff6d63c1ff4ddf2687,73,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0
1,/img/pexels-photo-326907.jpeg,contrast,0.0,0.6,leftImage,-590088790528160640,1600,900,1586,787,24,8173fde1f25224ff6d63c1ff4ddf2687,74,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0
