,RTT(s),img,parameter,leftChanges,rightChanges,chosen,hashval,screenWidth,screenHeight,windowWidth,windowHeight,colorDepth,userid,count,useragent,leftNIMA,rightNIMA
751,3,/img/pexels-photo-1839747.jpeg,temperature,5000.0,6500.0,rightImage,-352900763279806976,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,58,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.157045364379883,5.454221725463867
752,8,/img/pexels-photo-2373724.jpeg,saturation,0.0,-0.8,leftImage,741871570565390720,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,59,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.255961894989014,5.288268566131592
753,3,/img/pexels-photo-3264546.jpeg,shadows,-60.0,-60.0,leftImage,263838431707220736,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,60,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",6.064210414886475,6.064210414886475
754,1,/img/pexels-photo-1070946.jpeg,tint,1.05,1.2,leftImage,-3991204644281566720,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,61,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.266722679138184,5.131497859954834
755,10,/img/pexels-photo-1758101.jpeg,shadows,50.0,40.0,leftImage,9030041229617560576,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,62,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.113101959228516,5.020500183105469
756,7,/img/pexels-photo-2728095.jpeg,tint,1.0,0.95,rightImage,-6785975256693245952,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,63,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.407626152038574,5.097841739654541
757,2,/img/pexels-photo-1101296.jpeg,temperature,2000.0,6500.0,rightImage,5022064800319155200,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,64,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",4.786811351776123,5.533147811889648
759,2,/img/pexels-photo-1309855.jpeg,exposure,0.0,1.8,leftImage,-48459852354066192,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,66,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.599808692932129,4.360452651977539
760,3,/img/pexels-photo-3417552.jpeg,highlights,-50.0,0.0,leftImage,-3602635683366267392,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,67,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.542372703552246,5.452728748321533
761,6,/img/pexels-photo-68357.jpeg,highlights,-80.0,-50.0,leftImage,-2972091345333212160,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,68,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.923080921173096,5.935192584991455
762,2,/img/pexels-photo-1456641.jpeg,temperature,6500.0,22000.0,leftImage,6660605224636343296,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,69,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.230734348297119,5.0991740226745605
763,3,/img/pexels-photo-2411916.jpeg,tint,1.0,1.2,leftImage,-460936056620366400,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,70,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.1553263664245605,4.687842845916748
764,1,/img/pexels-photo-2423929.jpeg,tint,1.0,1.15,leftImage,-8138037925571110912,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,71,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.496921539306641,5.218829154968262
765,4,/img/pexels-photo-936065.jpeg,highlights,-100.0,-80.0,leftImage,-543874466636448832,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,72,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.222856521606445,5.157101631164551
766,2,/img/pexels-photo-920986.jpeg,saturation,-0.2,-0.8,leftImage,6147652486285885440,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,73,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",4.650975704193115,4.689136028289795
767,3,/img/pexels-photo-744323.jpeg,temperature,6500.0,14000.0,rightImage,2001808743441660672,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,74,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",4.638627529144287,4.587972164154053
769,10,/img/pexels-photo-129112.jpeg,shadows,50.0,100.0,leftImage,-5602711461679124480,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,76,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",4.905941963195801,4.8773193359375
770,2,/img/pexels-photo-458508.jpeg,tint,1.05,1.0,rightImage,4276534153603798016,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,77,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.621356964111328,5.754652500152588
771,3,/img/pexels-photo-3639000.jpeg,shadows,100.0,50.0,leftImage,1195346919402357760,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,78,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.198097229003906,5.2867631912231445
772,2,/img/pexels-photo-2198522.jpeg,exposure,0.0,-2.4,leftImage,5954428308310441984,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,79,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.458219528198242,4.845636367797852
773,5,/img/pexels-photo-1891038.jpeg,vibrance,0.0,25.0,leftImage,-1571892947741306880,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,80,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.085297584533691,5.121487140655518
774,10,/img/pexels-photo-2187429.jpeg,lcontrast,0.0,9.0,rightImage,-4692590805528374272,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,81,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",4.981189250946045,5.295856475830078
775,3,/img/pexels-photo-1005588.jpeg,highlights,-50.0,-80.0,rightImage,-3598929209005918208,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",4.8588361740112305,4.717097759246826
777,4,/img/pexels-photo-93776.jpeg,saturation,0.2,0.0,rightImage,-6246978834280178688,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,84,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.569659233093262,5.63457727432251
778,2,/img/pexels-photo-2747685.jpeg,tint,0.9,0.75,leftImage,6889746477677554688,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,85,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",4.918984413146973,4.831878662109375
779,2,/img/pexels-photo-357316.jpeg,temperature,18000.0,14000.0,leftImage,-4991476605854146560,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,86,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.6703996658325195,5.669092178344727
782,5,/img/pexels-photo-1334446.jpeg,vibrance,0.0,25.0,leftImage,-7558903879149210624,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,89,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.17741060256958,5.234496116638184
783,3,/img/pexels-photo-704214.jpeg,lcontrast,0.2,9.0,rightImage,8811558144435431424,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,90,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.700161457061768,5.923306465148926
784,33,/img/pexels-photo-2237656.jpeg,exposure,0.6,0.0,leftImage,-2570078711938784256,1920,1200,1634,1074,24,ad13b4d45f317e71d464bcd0fe84cba1,1,Mozilla/5.0 (X11; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0,4.97216796875,5.056049346923828
785,2,/img/pexels-photo-1066176.jpeg,saturation,0.0,0.6,rightImage,-6332191192753299456,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,91,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.707718372344971,5.507284164428711
786,4,/img/pexels-photo-132422.jpeg,highlights,-20.0,-50.0,leftImage,-1723764444630225408,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,92,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.599033832550049,5.704095363616943
789,6,/img/pexels-photo-298843.jpeg,tint,0.9,0.85,leftImage,5215017977127841792,1920,1200,1634,1062,24,ad13b4d45f317e71d464bcd0fe84cba1,3,Mozilla/5.0 (X11; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0,4.9975457191467285,4.90946626663208
790,10,/img/pexels-photo-1886732.jpeg,shadows,50.0,100.0,leftImage,617133331315184768,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,94,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",4.932251930236816,4.863473415374756
791,4,/img/pexels-photo-140512.jpeg,tint,1.0,0.9,rightImage,-7117198458944586752,1920,1200,1634,1062,24,ad13b4d45f317e71d464bcd0fe84cba1,4,Mozilla/5.0 (X11; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0,5.52849817276001,5.4380316734313965
792,3,/img/pexels-photo-2263123.jpeg,contrast,1.0,0.2,rightImage,7696756022331224064,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,95,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",4.8288893699646,5.08383846282959
793,3,/img/pexels-photo-1236697.jpeg,temperature,6500.0,12000.0,leftImage,3411798487492879360,1920,1200,1634,1074,24,ad13b4d45f317e71d464bcd0fe84cba1,5,Mozilla/5.0 (X11; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0,5.301623344421387,5.076874732971191
794,3,/img/pexels-photo-3087286.jpeg,temperature,6500.0,20000.0,rightImage,-4151299743151552000,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,96,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.027666091918945,4.848173141479492
796,2,/img/pexels-photo-1030979.jpeg,saturation,0.0,-0.6,leftImage,-8057393814769879040,1920,1200,1634,1074,24,ad13b4d45f317e71d464bcd0fe84cba1,7,Mozilla/5.0 (X11; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0,5.346424102783203,5.354477405548096
798,3,/img/pexels-photo-209726.jpeg,temperature,20000.0,7000.0,rightImage,9094717313537961984,1920,1200,1634,1062,24,ad13b4d45f317e71d464bcd0fe84cba1,8,Mozilla/5.0 (X11; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0,5.313863277435303,5.417198181152344
802,3,/img/pexels-photo-1821414.jpeg,saturation,0.2,1.0,leftImage,945500317966520192,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,100,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.3132734298706055,5.421944618225098
805,5,/img/pexels-photo-1001691.jpeg,lcontrast,0.4,40.0,rightImage,-7292356879742648320,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,102,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",4.548384666442871,4.750286102294922
806,7,/img/pexels-photo-1461805.jpeg,highlights,-50.0,-100.0,rightImage,-677898968386809728,1920,1200,1634,1074,24,ad13b4d45f317e71d464bcd0fe84cba1,11,Mozilla/5.0 (X11; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0,5.021438121795654,4.990975379943848
808,2,/img/pexels-photo-1362534.jpeg,contrast,0.0,0.4,leftImage,-487516771716799744,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,104,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.127325534820557,4.895536422729492
809,12,/img/pexels-photo-2229566.jpeg,highlights,-50.0,-40.0,rightImage,2545406794588663808,1920,1200,1634,1062,24,ad13b4d45f317e71d464bcd0fe84cba1,12,Mozilla/5.0 (X11; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0,5.60003137588501,5.448366165161133
810,2,/img/pexels-photo-2460874.jpeg,temperature,3000.0,2000.0,leftImage,-1189687012214510336,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,105,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.12757682800293,4.970810413360596
811,1,/img/pexels-photo-3183613.jpeg,exposure,2.4,0.0,rightImage,2546790879985270784,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,106,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.044764995574951,5.710561275482178
812,3,/img/pexels-photo-1635908.jpeg,tint,1.0,1.05,leftImage,330480124834498944,1920,1200,1634,1074,24,ad13b4d45f317e71d464bcd0fe84cba1,13,Mozilla/5.0 (X11; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0,5.442135810852051,5.06836462020874
813,3,/img/antwerp-station-hall-building-station-447424.jpeg,brightness,-0.4,0.0,rightImage,-8369846379169964032,1920,1200,1634,1062,24,ad13b4d45f317e71d464bcd0fe84cba1,14,Mozilla/5.0 (X11; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0,5.7182159423828125,5.76898717880249
814,6,/img/pexels-photo-1577876.jpeg,lcontrast,2.0,0.0,rightImage,-3705995421274975232,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,107,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.244786262512207,5.008235454559326
815,3,/img/pexels-photo-1652394.jpeg,temperature,6500.0,5000.0,leftImage,8117543866669903872,1920,1200,1634,1074,24,ad13b4d45f317e71d464bcd0fe84cba1,15,Mozilla/5.0 (X11; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0,5.128496170043945,4.951443195343018
816,4,/img/pexels-photo-1852003.jpeg,saturation,0.0,-0.2,rightImage,-7483174273462084608,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,108,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.854970455169678,5.7980637550354
817,4,/img/pexels-photo-1526890.jpeg,shadows,50.0,100.0,leftImage,-3009116066850021888,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,109,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.959352970123291,5.782020568847656
818,10,/img/pexels-photo-186614.jpeg,brightness,-0.6,-0.2,rightImage,-1149578081153815680,1920,1200,1634,1062,24,ad13b4d45f317e71d464bcd0fe84cba1,16,Mozilla/5.0 (X11; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0,5.026641368865967,5.163323879241943
819,5,/img/pexels-photo-459882.jpeg,shadows,50.0,-60.0,rightImage,-5453600815076251648,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,110,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",4.930014610290527,4.896157741546631
820,5,/img/pexels-photo-3051306.jpeg,exposure,0.0,2.4,leftImage,-3991547445497822720,1920,1200,1634,1074,24,ad13b4d45f317e71d464bcd0fe84cba1,17,Mozilla/5.0 (X11; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0,5.609392166137695,4.946530342102051
821,6,/img/pexels-photo-404320.jpeg,saturation,0.4,0.0,rightImage,-8296952865326370816,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,111,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.459716320037842,5.607368469238281
822,4,/img/pexels-photo-949070.jpeg,highlights,-50.0,-80.0,leftImage,5376913328646549504,1920,1200,1634,1074,24,ad13b4d45f317e71d464bcd0fe84cba1,18,Mozilla/5.0 (X11; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0,5.313350200653076,5.075962543487549
823,9,/img/pexels-photo-1334081.jpeg,brightness,0.6,0.6,leftImage,6890744049698635776,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,112,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",4.984574317932129,4.984574317932129
824,6,/img/pexels-photo-2422253.jpeg,highlights,-50.0,-100.0,rightImage,5763842673438352384,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,113,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.591951847076416,5.575951099395752
825,2,/img/pexels-photo-907649.jpeg,tint,1.0,0.8,leftImage,-796581749048629376,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,114,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",4.9512248039245605,5.04721736907959
829,4,/img/pexels-photo-416299.jpeg,shadows,20.0,50.0,leftImage,3642237614225599488,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,118,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.913448810577393,5.9275031089782715
830,2,/img/pexels-photo-2870838.jpeg,exposure,0.0,-1.2,leftImage,1890112845046907648,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,119,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.2183122634887695,4.651251316070557
832,2,/img/pexels-photo-1050040.jpeg,exposure,0.0,-2.4,leftImage,-6929511153226701824,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,121,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.609060764312744,4.723733425140381
833,9,/img/pexels-photo-1638503.jpeg,brightness,1.0,0.6,rightImage,-4068599656777830912,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,122,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",4.74959659576416,4.89644193649292
834,2,/img/pexels-photo-209416.jpeg,tint,1.25,1.0,rightImage,-2116023111027966720,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,123,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.156644344329834,5.500027179718018
836,6,/img/pexels-photo-1028927.jpeg,saturation,1.0,0.0,rightImage,-4772229054666056704,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,125,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.627340316772461,5.805194854736328
837,3,/img/pexels-photo-133407.jpeg,contrast,0.4,0.0,rightImage,8735885138247619584,1920,1080,1905,855,24,d754e83edfef497b0c1410fc150a644b,126,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.27628231048584,5.355178356170654
839,430,/img/pexels-photo-2496344.jpeg,tint,1.2,1.0,rightImage,-7117117470377726976,1920,1200,1634,1074,24,ad13b4d45f317e71d464bcd0fe84cba1,19,Mozilla/5.0 (X11; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0,5.482464790344238,5.600135803222656
840,6,/img/pexels-photo-3068707.jpeg,vibrance,40.0,100.0,leftImage,4275555635569608704,1920,1200,1634,1062,24,ad13b4d45f317e71d464bcd0fe84cba1,20,Mozilla/5.0 (X11; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0,4.809122085571289,4.933049201965332
841,4,/img/pexels-photo-3294044.jpeg,temperature,16000.0,6500.0,leftImage,-5076992580973744128,1920,1200,1634,1074,24,ad13b4d45f317e71d464bcd0fe84cba1,21,Mozilla/5.0 (X11; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0,5.166241645812988,5.076436996459961
842,3,/img/pexels-photo-1040909.jpeg,temperature,6500.0,18000.0,leftImage,667270416932850304,1920,1200,1634,1074,24,ad13b4d45f317e71d464bcd0fe84cba1,22,Mozilla/5.0 (X11; Linux x86_64; rv:74.0) Gecko/20100101 Firefox/74.0,5.702127933502197,5.843137264251709
845,8,/img/pine-trees-winter-white-cold-745719.jpeg,lcontrast,25.0,6.0,leftImage,2937707824674864128,1920,1080,1904,930,24,319c6d34f67869cd0c97cf0f9e537f56,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 Edge/16.16299",4.742396831512451,4.720697402954102
846,9,/img/pexels-photo-1249171.jpeg,shadows,60.0,50.0,rightImage,1531985616104589056,1920,1080,1904,930,24,319c6d34f67869cd0c97cf0f9e537f56,2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 Edge/16.16299",5.635941505432129,5.504395484924316
847,11,/img/pexels-photo-1170180.jpeg,contrast,0.0,0.4,rightImage,1463815402829553152,1920,1080,1904,930,24,319c6d34f67869cd0c97cf0f9e537f56,3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 Edge/16.16299",5.008478164672852,4.958847999572754
848,9,/img/pexels-photo-2448523.jpeg,vibrance,20.0,25.0,rightImage,320557333791109248,1920,1080,1904,930,24,319c6d34f67869cd0c97cf0f9e537f56,4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 Edge/16.16299",5.013983726501465,5.047873497009277
849,19,/img/pexels-photo-3425586.jpeg,contrast,0.6,0.4,leftImage,-6595439459398929408,1920,1080,1904,930,24,319c6d34f67869cd0c97cf0f9e537f56,5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 Edge/16.16299",5.293303489685059,5.262378215789795
850,2,/img/pexels-photo-1717050.jpeg,exposure,0.0,-1.8,leftImage,200270882471103328,1920,1080,1904,930,24,319c6d34f67869cd0c97cf0f9e537f56,6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 Edge/16.16299",5.1993303298950195,5.0769524574279785
851,3,/img/pexels-photo-2883573.jpeg,exposure,-0.6,-2.4,leftImage,-5366659952137344000,1920,1080,1904,930,24,319c6d34f67869cd0c97cf0f9e537f56,7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 Edge/16.16299",5.356404781341553,4.939253330230713
852,6,/img/pexels-photo-2759419.jpeg,temperature,6500.0,10000.0,leftImage,4135138128862284800,1920,1080,1904,930,24,319c6d34f67869cd0c97cf0f9e537f56,8,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 Edge/16.16299",5.6926984786987305,5.543773174285889
